medcodeid	term
3508956015	Stroke due to basilar artery thrombus
3636143018	Cerebrovascular accident due to occlusion of left cerebellar artery by embolus
5583101000006116	Subarachnoid haemorrhage from basilar artery aneurysm
5649201000006113	Extension of cerebrovascular accident
7572391000006114	Perimesencephalic subarachnoid hemorrhage
30981000006112	Oth cerebral h'ge inj no open intracran wnd+unspec consc
3509781019	Cerebrovascular accident due to occlusion of right cerebellar artery
3533575015	Spontaneous intracranial hemorrhage
3533578018	Nontraumatic intracranial haemorrhage
4056951000006111	Brainstem haemorrhage
4057031000006117	Brain stem infarct
6837061000006117	Basal ganglion infarct
7572381000006111	Perimesencephalic subarachnoid haemorrhage
123431000006119	Subarachnoid h'ge inj no open intracran wound + unspec consc
2832661000006113	Subcortical hemorrhage
307884011	Puerperal cerebrovascular disorder NOS
3509769018	Cerebrovascular accident due to occlusion of left cerebellar artery
35791000006117	Other cerebral h'ge after injury + open intracranial wound
3636141016	Cerebrovascular accident due to occlusion of right cerebellar artery by embolus
3719851000006116	Cerebellar hemorrhage
5582971000006117	Subarachnoid haemorrhage from multiple aneurysms
5582991000006116	Subarachnoid haemorrhage from anterior cerebral artery aneurysm
5597291000006113	AVM - Ruptured cerebral arteriovenous malformation
7991141000006110	Occlusion of cerebral artery with stroke
1.37186410000e+16	History of ischaemic stroke
1.39098710000e+16	Cerebral ischaemic stroke due to aortic arch embolism
123311000006115	Subarach h'ge inj no open intracran wnd + concussion unspec
123351000006119	Subarachnoid h'ge inj + open intracran wnd+concussion unspec
200591000006119	Puerperal cerebrovascular disorder - delivered with postnatal complication
3509777019	Cerebrovascular accident due to occlusion of left pontine artery
3510959018	Lacunar ataxic hemiparesis of left nondominant side
3636970014	Occlusion of left middle cerebral artery by embolus
4056941000006114	Brain stem hemorrhage
4057041000006110	Brain stem stroke
4057051000006112	Infarction of brain stem
5011181000006113	LI - Lacunar infarction
5583041000006118	Subarachnoid haemorrhage from posterior cerebral artery aneurysm
5583121000006114	Subarachnoid haemorrhage from posterior inferior cerebellar artery aneurysm
5597331000006118	Angiogram-negative subarachnoid haemorrhage
5597481000006114	Ruptured aneurysm of anterior cerebral artery
5597651000006116	Ruptured internal carotid-posterior communicating artery zone aneurysm
5974521000006116	History of stroke in last year
7571431000006113	Deep hemispheric haemorrhage
7951271000006116	Haemorrhage of medulla oblongata
8089851000006116	Nontraumatic intracerebral haemorrhage
1.39098910000e+16	Cerebral ischaemic stroke due to hypercoagulable state
123331000006114	Subarach h'ge inj no open intracran wnd+LOC unspec duration
123361000006117	Subarachnoid h'ge inj + open intracran wound + unspec consc
123421000006117	Subarachnoid h'ge inj no open intracran wound + 1-24hr LOC
200621000006117	Puerperal cerebrovascular disorder with antenatal complication
200631000006119	Puerperal cerebrovascular disorder with postnatal complication
2832671000006118	Subcortical cerebral haemorrhage
2841161000006110	Subarachnoid intracranial haemorrhage
2841171000006115	Subarachnoid intracranial hemorrhage
3346051000006110	Internal capsule hemorrhage
3510551014	History of hemorrhagic stroke with residual deficit
3636139017	Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus
3687811000006118	Cerebral hemisphere haemorrhage
3719861000006119	Haemorrhagic cerebellum
3728451000006116	Cerebral arterial embolism
4777871000006114	Intracerebral hemorrhage with intraventricular hemorrhage
4777981000006117	Occlusion of basilar artery
5011301000006118	Hemorrhagic cerebral infarction
5011371000006112	Massive supratentorial cerebral haemorrhage
5011571000006117	Subarachnoid hemorrhage due to ruptured arteriovenous malformation
5518061000006111	Spontaneous subarachnoid hemorrhage
5518101000006114	Nontraumatic subarachnoid intracranial hemorrhage
5589651000006114	Intracerebellar and posterior fossa hemorrhage
5597601000006115	Ruptured aneurysm of basilar artery
7703591000006117	Pain following cerebrovascular accident
7855641000006118	Cerebral ischemic stroke due to small artery occlusion
7863741000006115	Cerebral ischemic stroke due to stenosis of extracranial large artery
8046951000006114	Cerebral infarction due to carotid artery occlusion
8090471000006119	Cerebral infarction due to stenosis of precerebral artery
8211961000006117	History of cerebellar stroke
989201000006117	Cerebral haemorrhage
989211000006119	Cerebral haemorrhage NOS
1.37186110000e+16	History of embolic stroke
1.18439310000e+16	Cerebrovascular accident due to stenosis of right carotid artery
1.18439410000e+16	Cerebrovascular accident due to stenosis of left carotid artery
1.18650510000e+16	Cerebrovascular accident due to occlusion of right carotid artery
1.18785110000e+16	Cerebrovascular accident due to occlusion of cerebral artery
1.19035710000e+16	Stroke due to intracerebral haemorrhage
1.19195710000e+16	[X]Other intracerebral haemorrhage
1.19237910000e+16	Subarachnoid hemorrhage following injury without open intracranial wound
1.22229710000e+16	Occlusion of precerebral artery
123281000006117	Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level
123291000006119	Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level
123301000006118	Subarach h'ge inj + open intracran wnd+LOC unspec duration
123321000006111	Subarach h'ge inj no open intracran wnd+>24hrs LOC-restored
123341000006116	Subarachnoid haemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)
123371000006112	Subarachnoid haemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)
123401000006110	Subarachnoid h'ge inj no open intracran wnd+>24 LOC+recovery
1.27224810000e+16	Right sided intracerebral haemorrhage, unspecified
1.27586110000e+16	Right sided intracerebral hemorrhage, unspecified
1.27620210000e+16	Cerebral hemorrhage
1.30311910000e+16	Cerebral hemorrhage
2622641000006116	Intrapontine hemorrhage
2818821000006111	Occlusion of cerebral artery
2832681000006115	Subcortical cerebral hemorrhage
2836981000006110	Perinatal subarachnoid hemorrhage
2836991000006113	Subarachnoid hemorrhage from any perinatal cause
2837001000006117	Subarachnoid haemorrhage from any perinatal cause
2837011000006119	Perinatal intracranial subarachnoid haemorrhage
2837021000006110	Perinatal intracranial subarachnoid hemorrhage
2837471000006118	Meningeal haemorrhage
2837481000006115	Meningeal hemorrhage
2871251000006116	Ventricular hemorrhage
2950231000006111	Subarachnoid haemorrhage following injury without open intracranial wound
2962821000006118	Occlusion of precerebral artery
3027211000006117	Haemorrhage due to ruptured congenital cerebral aneurysm
3027221000006113	Hemorrhage due to ruptured congenital cerebral aneurysm
3027231000006111	Hemorrhage due to ruptured berry aneurysm
3027241000006118	Haemorrhage due to ruptured berry aneurysm
3184041000006115	Cerebromeningeal haemorrhage
3184051000006118	Cerebromeningeal hemorrhage
3203191000006110	Vertebral artery obstruction
3299621000006119	Cortical hemorrhage
3507311016	Occlusion of bilateral vertebral arteries
3507312011	Occlusion of both vertebral arteries
3507382019	Spontaneous hemorrhage of cortical intracerebral hemisphere
3507384018	Nontraumatic hemispheric cortical intracerebral hemorrhage
3507385017	Nontraumatic hemispheric cortical intracerebral haemorrhage
3507425016	Cerebrovascular accident due to stenosis of right vertebral artery
3507427012	Cerebrovascular accident due to stenosis of left vertebral artery
3508953011	Stroke due to thrombus of left carotid artery
3508959010	Stroke due to thrombus of right carotid artery
3509775010	Cerebrovascular accident due to right vertebral artery occlusion
3509779016	Cerebrovascular accident due to occlusion of left vertebral artery
3509783016	Cerebrovascular accident due to occlusion of right pontine artery
3510549010	History of hemorrhagic cerebrovascular accident with residual deficit
3510550010	History of haemorrhagic cerebrovascular accident with residual deficit
3510552019	History of haemorrhagic stroke with residual deficit
3510965018	Lacunar ataxic hemiparesis of right nondominant side
3511249016	Nontraumatic haemorrhage of subarachnoid space from left posterior communicating artery
3511250016	Nontraumatic hemorrhage of subarachnoid space from left posterior communicating artery
3511251017	Spontaneous haemorrhage of subarachnoid space from left posterior communicating artery
3511252012	Spontaneous hemorrhage of subarachnoid space from left posterior communicating artery
3511254013	Nontraumatic haemorrhage of subarachnoid space from right posterior communicating artery
3511255014	Spontaneous hemorrhage of subarachnoid space from right posterior communicating artery
3511256010	Nontraumatic hemorrhage of subarachnoid space from right posterior communicating artery
3511257018	Spontaneous haemorrhage of subarachnoid space from right posterior communicating artery
3511277013	Spontaneous hemorrhage of subarachnoid space from basilar artery
3511278015	Spontaneous haemorrhage of subarachnoid space from basilar artery
3511279011	Nontraumatic hemorrhage of subarachnoid space from basilar artery
3511280014	Nontraumatic haemorrhage of subarachnoid space from basilar artery
3511282018	Spontaneous hemorrhage of subarachnoid space from intracranial artery
3511283011	Spontaneous haemorrhage of subarachnoid space from intracranial artery
3511284017	Nontraumatic hemorrhage of subarachnoid space from intracranial artery
3511285016	Nontraumatic haemorrhage of subarachnoid space from intracranial artery
3513216018	Occlusion of left cerebellar artery
3513218017	Occlusion of right cerebellar artery
3515793014	Cerebrovascular accident due to occlusion of right vertebral artery
3533577011	Nontraumatic intracranial hemorrhage
3636137015	Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus
3636973011	Occlusion of left cerebellar artery by embolus
3636975016	Occlusion of right cerebellar artery by embolus
3637000018	Occlusion of right posterior cerebral artery by embolus
3637002014	Occlusion of left posterior cerebral artery by embolus
3662311000006113	Thrombosis of cerebral arteries
3662321000006117	Cerebral arterial thrombosis
3687821000006114	Cerebral hemisphere hemorrhage
3719871000006114	Hemorrhagic cerebellum
4056961000006113	Brainstem hemorrhage
4540671000006111	H/O subarachnoid hemorrhage
4540681000006114	History of subarachnoid hemorrhage
4777701000006111	Ruptured saccular aneurysm
4777721000006118	Subarachnoid hemorrhage from carotid siphon and bifurcation
4777741000006113	Subarachnoid hemorrhage from vertebral artery
4777751000006110	Intracranial subarachnoid hemorrhage from vertebral artery
4777761000006112	Intracranial subarachnoid haemorrhage from vertebral artery
4777831000006111	External capsule hemorrhage
4777851000006116	Intracerebral hemorrhage, intraventricular
4777891000006110	Intracerebral hemorrhage, multiple localized
4777971000006115	Basilar artery obstruction
5011021000006113	Cerebrovascular accident due to cerebral artery occlusion
5011311000006115	Haemorrhagic stroke
5011321000006111	Hemorrhagic stroke
5011341000006116	Anterior cerebral circulation hemorrhagic infarction
5011361000006117	Posterior cerebral circulation hemorrhagic infarction
5011381000006110	Massive supratentorial cerebral hemorrhage
5011401000006110	Lobar cerebral hemorrhage
5011441000006112	Lacunar hemorrhage
5011561000006112	Subarachnoid haemorrhage due to ruptured arteriovenous malformation
5011591000006116	Subarachnoid hemorrhage due to ruptured aneurysm
5011601000006112	SAH - Subarachnoid hemorrhage from ruptured aneurysm
5011611000006110	SAH - Subarachnoid haemorrhage from ruptured aneurysm
5011621000006119	Intracranial subarachnoid hemorrhage due to ruptured aneurysm
5011631000006116	Intracranial subarachnoid haemorrhage due to ruptured aneurysm
5518051000006114	SAH - Spontaneous subarachnoid hemorrhage
5518081000006118	Spontaneous intracranial subarachnoid haemorrhage
5518091000006115	Spontaneous intracranial subarachnoid hemorrhage
5518111000006112	Nontraumatic subarachnoid intracranial haemorrhage
5560161000006111	Intracerebral hemorrhage (ICH)
5582981000006119	Subarachnoid hemorrhage from multiple aneurysms
5583001000006115	Subarachnoid hemorrhage from anterior cerebral artery aneurysm
5583031000006111	Subarachnoid hemorrhage from middle cerebral artery aneurysm
5583051000006116	Subarachnoid hemorrhage from posterior cerebral artery aneurysm
5583071000006114	Subarachnoid hemorrhage from anterior communicating artery aneurysm
5583091000006110	Subarachnoid hemorrhage from posterior communicating artery aneurysm
5583111000006118	Subarachnoid hemorrhage from basilar artery aneurysm
5583131000006112	Subarachnoid hemorrhage from posterior inferior cerebellar artery aneurysm
5583141000006119	Subarachnoid haemorrhage from carotid artery aneurysm
5583151000006117	Subarachnoid hemorrhage from carotid artery aneurysm
5597341000006111	Angiogram-negative subarachnoid hemorrhage
5597351000006113	Angiogram-negative intracranial subarachnoid hemorrhage
5597361000006110	Angiogram-negative intracranial subarachnoid haemorrhage
5597511000006118	Ruptured aneurysm of posterior cerebral artery
5597611000006117	Ruptured aneurysm of posterior inferior cerebellar artery
5597641000006118	Ruptured internal carotid-anterior communicating artery zone aneurysm
5597661000006119	Ruptured internal carotid bifurcation aneurysm
5649211000006111	Extension of stroke
5649221000006115	CVA - Extension of cerebrovascular accident
6593111000006115	Nontraumatic extradural hemorrhage
6593121000006111	Nontraumatic epidural haemorrhage
6593131000006114	Nontraumatic epidural hemorrhage
6593141000006116	Nontraumatic extradural intracranial hemorrhage
6593151000006119	Nontraumatic extradural intracranial haemorrhage
6907881000006118	Hemorrhagic stroke monitoring
7052011000006119	Non-traumatic intracerebral ventricular haemorrhage
7052021000006110	Non-traumatic intracerebral ventricular hemorrhage
7067301000006114	Medulla oblongata stroke
7085851000006110	History of cerebral haemorrhage
7085861000006112	History of cerebral hemorrhage
7096021000006119	History of haemorrhage into ventricle of brain
7096031000006116	History of ventricular hemorrhage
7096041000006114	History of hemorrhage into ventricle of brain
7096051000006111	History of intraventricular haemorrhage
7096061000006113	History of intraventricular hemorrhage
7096071000006118	History of ventricular haemorrhage
7100261000006114	History of cardioembolic stroke
7112631000006117	History of cerebrovascular accident without residual deficits
7135051000006117	History of occlusion of cerebral artery
7184511000006118	History of occlusion of cerebral artery without cerebral infarction
7232811000006116	History of cerebrovascular accident with residual deficit
7251251000006113	Infarct of cerebrum due to iatrogenic cerebrovascular accident
7377671000006118	Haemorrhage into subarachnoid space of neuraxis
7377681000006115	Hemorrhage into subarachnoid space of neuraxis
7378281000006118	Intracranial hemorrhage following injury
7378441000006113	Traumatic cerebral hemorrhage
7522031000006111	History of cerebrovascular accident in last eight weeks
7571421000006110	Deep hemispheric cerebral haemorrhage
7571441000006115	Deep hemispheric cerebral hemorrhage
7571451000006118	Deep hemispheric hemorrhage
7571741000006112	Subarachnoid haemorrhage from vertebral artery aneurysm
7571751000006114	Subarachnoid hemorrhage from vertebral artery aneurysm
7703611000006111	Post CVA (cerebrovascular accident) pain
7741501000006118	Cerebrovascular accident during surgery
7741511000006115	CVA (cerebrovascular accident) during surgery
7855651000006116	Cerebral ischaemic stroke due to intracranial large artery atherosclerosis
7855661000006119	Cerebral ischemic stroke due to intracranial large artery atherosclerosis
7855671000006114	Cerebral ischaemic stroke due to extracranial large artery atherosclerosis
7855681000006112	Cerebral ischemic stroke due to extracranial large artery atherosclerosis
7855731000006119	Migraine-induced stroke
7863711000006119	Cerebral ischaemic stroke due to occlusion of extracranial large artery
7863721000006110	Cerebral ischemic stroke due to occlusion of extracranial large artery
7863731000006113	Cerebral ischaemic stroke due to stenosis of extracranial large artery
7865721000006111	Ischaemic stroke without residual deficits
7865731000006114	Ischemic stroke without residual deficits
7951281000006118	Hemorrhage of medulla oblongata
7955241000006114	Multifocal cerebral infarction due to and following procedure on cardiovascular system
8015121000006118	Cerebral infarction due to occlusion of basilar artery
8015131000006115	Cerebral infarction due to vertebral artery occlusion
8030701000006114	History of parietal cerebrovascular accident
8031211000006113	History of lacunar cerebrovascular accident
8037251000006117	History of thrombotic stroke without residual deficits
8037261000006115	History of haemorrhagic cerebrovascular accident without residual deficits
8037271000006110	History of hemorrhagic cerebrovascular accident without residual deficits
8037281000006113	History of embolic stroke without deficits
8044331000006114	History of haemorrhagic stroke with hemiparesis
8044341000006116	History of hemorrhagic stroke with hemiparesis
8044361000006117	History of haemorrhagic stroke with hemiplegia
8044371000006112	History of hemorrhagic stroke with hemiplegia
8044411000006113	Spontaneous cerebral haemorrhage with compression of brain
8044421000006117	Compression of brain co-occurrent and due to spontaneous cerebral hemorrhage
8044431000006119	Spontaneous cerebral hemorrhage with compression of brain
8044441000006112	Compression of brain co-occurrent and due to spontaneous cerebral haemorrhage
8044461000006111	Ischaemic stroke with coma
8044471000006116	Ischemic stroke with coma
8044491000006115	Ischemic stroke without coma
8044541000006113	Nontraumatic subarachnoid haemorrhage with brain compression
8044551000006110	Compression of brain co-occurrent and due to nontraumatic subarachnoid haemorrhage
8044561000006112	Compression of brain co-occurrent and due to nontraumatic subarachnoid hemorrhage
8044571000006117	Nontraumatic subarachnoid hemorrhage with brain compression
8044621000006119	History of ischaemic stroke without residual deficits
8044631000006116	History of ischemic stroke without residual deficits
8044801000006113	History of ischaemic cerebrovascular accident with residual deficit
8044811000006111	History of ischemic cerebrovascular accident with residual deficit
8044821000006115	History of embolic stroke with deficits
8045251000006112	Spontaneous cerebellar haemorrhage
8045261000006114	Spontaneous cerebellar hemorrhage
8045751000006117	Spontaneous intraparenchymal cerebral haemorrhage
8045761000006115	Spontaneous intraparenchymal cerebral hemorrhage
8045771000006110	Nontraumatic intraparenchymal cerebral hemorrhage
8089821000006113	Spontaneous cerebral haemorrhage
8089831000006111	Spontaneous cerebral hemorrhage
8089841000006118	Nontraumatic intracerebral hemorrhage
8090421000006115	Cerebral infarction due to vertebral artery stenosis
8211971000006112	History of stroke of cerebellum
8211981000006110	History of nontraumatic ruptured cerebral aneurysm
2729551000000111	Cerebral infarction due to occlusion of cerebral artery
2729571000000119	Cerebral infarction due to stenosis of cerebral artery
2901571000006113	Completed stroke
2954611000006112	Pars basalis haemorrhage
2954621000006116	Basilar hemorrhage
2954631000006118	Basilar haemorrhage
2954641000006111	Pars basalis hemorrhage
4193641000006111	Nonparalytic stroke
4270361000006116	Paralytic stroke
5009091000006112	Infarction of optic radiation
5898461000006119	Cerebellar haematoma
5898471000006114	Cerebellar hematoma
5912811000006111	Infarction of visual cortex
6431861000006113	Periventricular haemorrhagic venous infarct
6431871000006118	Periventricular hemorrhagic venous infarct
7134241000006113	Intraparenchymal haematoma of brain
7134251000006110	Intraparenchymal hematoma of brain
7363341000006119	Intraparenchymal haemorrhage of brain
7363351000006117	Intraparenchymal hemorrhage of brain
7386801000006119	Haemorrhage in globus pallidus
7386811000006116	Pallidal hemorrhage
7386821000006112	Pallidal haemorrhage
7386831000006110	Hemorrhage in globus pallidus
7386841000006117	Haemorrhage in caudate nucleus
7386851000006115	Hemorrhage in caudate nucleus
7386861000006118	Haemorrhage in putamen
7386871000006113	Hemorrhage in putamen
7572361000006118	Non-aneurysmal subarachnoid intracranial haemorrhage
7572371000006113	Non-aneurysmal subarachnoid intracranial hemorrhage
7572401000006111	Convexal subarachnoid haemorrhage
7572411000006114	Convexal subarachnoid hemorrhage
7586101000006114	Non-aneurysmal perimesencephalic subarachnoid haemorrhage
7586111000006112	Non-aneurysmal perimesencephalic subarachnoid hemorrhage
7834261000006115	Focal haemorrhagic contusion of cerebrum
7834271000006110	Focal hemorrhagic contusion of cerebrum
7839991000006115	Silent cerebral infarct
8221321000006118	Stroke and TIA
299757012	Angina pectoris
264493019	Angina control - good
1488382011	Acute coronary syndrome
7845011	Unstable angina
251679016	H/O: angina pectoris
264492012	Angina control
350348018	Stable angina
72571000006115	Unstable angina
482941000006119	Angina pectoris NOS
299765010	Angina pectoris NOS
264496010	Angina control - worsening
350379019	Cardiac syndrome X
264494013	Angina control - poor
442204010	Angina on effort
264495014	Angina control - improving
299741012	Preinfarction syndrome
39773018	Coronary artery spasm
299745015	Acute coronary insufficiency
7847015	Crescendo angina
494261017	Worsening angina
338974012	Ischaemic chest pain
264497018	Angina control NOS
7844010	Preinfarction syndrome
1235225010	Prinzmetal's angina
498328016	Angina at rest
451370011	H/O: Angina in last year
451425016	Antianginal therapy
350350014	New onset angina
2534674015	Chronic myocardial ischaemia
98087016	Angina decubitus
1752201000000116	Frequency of angina
5887611000006117	Exercise-induced angina
458410010	Post infarct angina
459487012	Refractory angina
4775971000006114	Angina
6360391000006118	Atypical angina
482811000006113	Angina at rest
2537483013	Chronic coronary insufficiency
59952018	Nocturnal angina
7105241000006116	Typical angina
144819018	Variant angina pectoris
300874013	[X]Other forms of angina pectoris
5887631000006111	Exertional angina
299763015	Angina decubitus NOS
3920021000006112	Coronary artery spasm angina
931961000006117	Acute coronary syndrome
5056491000006117	Chest pain with normal coronary angiography
36036010	Syncope anginosa
3166141000006114	Angina, class II
3919991000006112	Prinzmetal angina
3920011000006116	Variant angina
32122016	Status anginosus
9868461000006110	Unstable angina co-occurrent and due to coronary arteriosclerosis
4776031000006115	Ischaemic heart disease - angina
299758019	Stenocardia
3886751000006118	Angina, class III
3499001000006116	Angina, class I
3516223013	Angina self management plan
1.22762710000e+16	Progressive angina
2571561000006118	Pre-infarction syndrome
6360421000006114	Recurrent angina after coronary stent placement
6360401000006116	Recurrent angina after percutaneous transluminal coronary angioplasty
7966931000006114	Angina associated with type 2 diabetes mellitus
4776001000006111	Anginal syndrome
6360441000006119	Recurrent angina after coronary artery bypass graft
494260016	Impending infarction
2878041000006119	Coronary spasm
1.21259710000e+16	Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
4540501000006118	History of angina pectoris
4776021000006118	Ischemic heart disease - angina
3458791000006114	Anginal chest pain at rest
5887641000006118	Angina of effort
4775981000006112	Cardiac angina
3951991000006119	Angina, class IV
9868481000006116	Angina co-occurrent and due to coronary arteriosclerosis
1.48568110000e+16	Recurrent angina following placement of coronary artery stent
2571531000006110	Intermediate coronary syndrome
3920001000006119	Variant angina pectoris
1.21259510000e+16	Arteriosclerosis of autologous vein coronary artery bypass graft with angina
4776011000006114	AP - Angina pectoris
2571571000006113	Preinfarction angina
4943331000006119	Ischemic chest pain
5974501000006114	History of angina in last year
6847871000006116	Chronic myocardial ischemia
2878031000006112	Angina pectoris with documented spasm
6360381000006116	Progressive Angina
6360411000006118	Recurrent angina status post percutaneous transluminal coronary angioplasty
6360431000006112	Recurrent angina status post coronary stent placement
6360451000006117	Recurrent angina status post coronary artery bypass graft
6360471000006110	Recurrent angina status post rotational atherectomy
6360461000006115	Recurrent angina post rotational atherectomy
6360481000006113	Recurrent angina after directional coronary atherectomy
6360491000006111	Recurrent angina status post directional coronary atherectomy
7966951000006119	Diabetic angina pectoris associated with type 2 diabetes mellitus
7966941000006116	Angina associated with type II diabetes mellitus
9868511000006112	Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
1.21259610000e+16	Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft
1.21259810000e+16	Arteriosclerosis of coronary artery bypass graft with unstable angina
139475013	Heart failure
70653017	Congestive heart failure
141306010	Left ventricular failure
493287011	Congestive cardiac failure
216207010	Left ventricular systolic dysfunction
2159197017	Echocardiogram shows left ventricular systolic dysfunction
2549243014	Seen in heart failure clinic
142397010	Cardiomyopathy
2616471011	New York Heart Association Classification - Class II
784191000006110	Impaired left ventricular function
2548316014	Seen by community heart failure nurse
2616470012	New York Heart Association Classification - Class I
2616472016	New York Heart Association Classification - Class III
301694014	Pulmonary oedema
300040013	Primary dilated cardiomyopathy
411506018	Impaired left ventricular function
216184014	Congestive heart failure monitoring
75410014	Hypertrophic obstructive cardiomyopathy
2159198010	Echocardiogram shows left ventricular diastolic dysfunction
1489358014	Left ventricular diastolic dysfunction
139482012	Cardiac failure
395772015	Heart failure NOS
107545013	Hypertensive heart disease
1647701000000118	Heart failure with normal ejection fraction
3886041000006118	Left heart failure
300179017	Decompensated cardiac failure
6978012	Diastolic dysfunction
2549697018	Referral to heart failure nurse
1488804017	Heart failure confirmed
7573171000006116	Heart failure with reduced ejection fraction
147247018	Chronic congestive heart failure
132655012	Chronic cor pulmonale
510016018	Biventricular congestive heart failure
206703015	Right heart failure
299796018	Ischaemic cardiomyopathy
300910013	Hypertrophic cardiomyopathy
300062013	Cardiomyopathy NOS
300038015	Hypertrophic non-obstructive cardiomyopathy
300190010	Acute left ventricular failure
138527014	Alcoholic cardiomyopathy
1490256017	Acute pulmonary oedema
833381000006119	New York Heart Association Classification class
6615851000006116	Dilated cardiomyopathy
82584011	Acute cor pulmonale
34556015	Secondary dilated cardiomyopathy
251680018	H/O: heart failure
18472010	Acute congestive heart failure
2227501000000110	Heart failure with preserved ejection fraction
7025691000006110	Decompensated chronic heart failure
2616473014	New York Heart Association Classification - Class IV
2694523019	Left ventricular cardiac dysfunction
94251011	Acute heart failure
2548656015	Right ventricular systolic dysfunction
301741013	Acute pulmonary oedema unspecified
1816101000006113	Right ventricular failure
2117931000000116	Heart failure self-management plan agreed
4776121000006117	Generalised ischaemic myocardial dysfunction
299851018	Other chronic pulmonary heart disease
1778488011	Congestive cardiomyopathy
301743011	Acute pulmonary oedema NOS
7321121000006119	Heart failure with preserved ejection fraction
490972013	Right ventricular failure
223981000000118	Cardiac failure NOS
451426015	Cardiac failure therapy
395756011	Chronic pulmonary heart disease NOS
59588016	Familial cardiomyopathy
3182541000006117	Congestive cardiac failure
419130013	Arrhythmogenic right ventricular cardiomyopathy
3182551000006115	CCF - Congestive cardiac failure
1.39106710000e+16	Heart failure with mid range ejection fraction
3855401000006112	Cor pulmonale
395768019	Cardiomyopathy associated with another disorder
300180019	Compensated cardiac failure
4777091000006118	Hypertrophic cardiomyopathy without obstruction
316833010	Congenital cardiac failure
145620019	Chronic pulmonary heart disease
6029491000006114	No cardiac failure
537991000006111	Postpartum cardiomyopathy
2675255018	Congestive heart failure due to valvular disease
1.19270110000e+16	New York Heart Association Classification
2664351000006113	Chronic right-sided heart failure
2549208013	Emergency hospital admission for heart failure
453099015	H/O: Heart failure in last year
7251291000006119	Chronic diastolic heart failure
7056281000006118	Congestive heart failure due to left ventricular systolic dysfunction
3283871000006117	Chronic heart failure
494669012	Chronic pulmonary oedema
2549128016	Right ventricular diastolic dysfunction
741681000006111	Hypertensive heart disease NOS with CCF
1661371000000112	HFNEF - heart failure with normal ejection fraction
1495417010	Cardiac asthma
300911012	Primary restrictive cardiomyopathy
300912017	[X]Other cardiomyopathies
741661000006118	Hypertensive heart disease NOS
504901000006118	Benign hypertensive heart disease with congestive cardiac failure
2674238014	Tachycardia-induced cardiomyopathy
299655012	Hypertensive heart disease NOS
3859091000006114	Dilated cardiomyopathy secondary to alcohol
741691000006114	Hypertensive heart disease NOS without CCF
300054017	Cardiomyopathy in myotonic dystrophy
4193361000006119	Chronic left-sided heart failure
7573201000006117	Heart failure with reduced ejection fraction due to cardiomyopathy
1703621000000112	Worsening pulmonary oedema
300032019	Other primary cardiomyopathies
401870011	Postoperative pulmonary oedema
72934016	Rheumatic left ventricular failure
460126017	Cardiomyopathy in Duchenne muscular dystrophy
150511013	Constrictive cardiomyopathy
412678013	Neonatal cardiac failure
300041012	Other primary cardiomyopathy NOS
7573181000006118	Heart failure with reduced ejection fraction due to coronary artery disease
6873341000006113	Restrictive cardiomyopathy
1705371000000116	Tachycardiomyopathy
6960931000006110	NYHA - New York Heart Association Classification
1778232017	Endomyocardial fibrosis
884181000006110	Pulmonary heart disease
5331151000006110	Arrhythmogenic right ventricular dysplasia
139481017	Weak heart
350484012	Heart failure as a complication of care
299673010	Hypertensive heart and renal disease with renal failure
3589241000006116	Chronic right-sided congestive heart failure
504911000006115	Benign hypertensive heart disease without CCF
6212521000006115	Acute cardiac pulmonary oedema
7475751000006117	Ischaemic dilated cardiomyopathy due to coronary artery disease
741701000006114	Hypertensive heart and renal disease with (congestive) heart failure
300916019	[X]Cardiomyopathy in other diseases classified elsewhere
300053011	Cardiomyopathy in Friedreich's ataxia
7119751000006110	Chronic systolic dysfunction of left ventricle
7573211000006119	Heart failure with reduced ejection fraction due to heart valve disease
300057012	Cardiomyopathy associated with another disorder
666221000006118	Familial cardiac amyloid
7510321000006115	Asymptomatic left ventricular systolic dysfunction
728681000006116	Malignant hypertensive heart disease without congestive heart failure
2549089012	Left ventricular dysfunction monitoring verbal invite
403107019	Cardiac insufficiency as a complication of care
5573991000006118	Impaired left ventricular func
111625010	Acute pulmonary heart disease
1.40150510000e+16	Acute on chronic right-sided congestive heart failure
7250571000006113	Chronic systolic heart failure
1216090015	Acute oedema of lung, unspecified
6615891000006110	DCM - Dilated cardiomyopathy
6919191000006119	Diastolic heart failure
300052018	Cardiomyopathy in disease EC
8030311000006111	Exacerbation of congestive heart failure
7065281000006117	Ischaemic congestive cardiomyopathy
3886071000006114	LVF - Left ventricular failure
4776141000006112	Ischemic cardiomyopathy
